UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2016,10,21,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,10,10,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2016,10,37,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,10,48,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,Freegal,SONG,2016,10,1,Fire and Ice (Elements Live),,Within Temptation,,,
Digital,OverDrive,EBOOK,2016,10,109,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,10,28,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2016,11,2,"Beyond the wall : exploring George R.R. Martin's A song of ice and fire, from A game of thrones to A dance with Drago / edited by James Lowder ; [foreword by R.A. Salvatore].",,,Martin George R R Criticism and interpretation,"BenBella Books, Inc.,",c2012.
Digital,OverDrive,EBOOK,2016,11,24,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2016,11,100,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,32,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2016,11,42,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,20,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,11,7,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2016,11,40,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,11,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,11,46,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2016,11,2,The science of Game of thrones : from the genetics of royal incest to the chemistry of death by molten gold--sifting fact from fantasy in the Seven Kingdoms / Helen Keen.,,"Keen, Helen,","Science Miscellanea, Game of thrones Television program Miscellanea, Martin George R R Song of ice and fire Miscellanea, Science in literature","Little, Brown and Company,",2016
Digital,OverDrive,AUDIOBOOK,2016,11,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,EBOOK,2016,11,35,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2016,11,1,"Beyond the Wall: Exploring George R. R. Martin's A Song of Ice and Fire, From A Game of Thrones to A Dance with Drago",,James Lowder,"Literary Criticism, Nonfiction",Perseus Books Group,2012
Digital,OverDrive,AUDIOBOOK,2016,11,18,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2016,12,104,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,EBOOK,2016,12,25,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,12,18,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,EBOOK,2016,12,35,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2016,12,21,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2016,12,8,The science of Game of thrones : from the genetics of royal incest to the chemistry of death by molten gold--sifting fact from fantasy in the Seven Kingdoms / Helen Keen.,,"Keen, Helen,","Science Miscellanea, Game of thrones Television program Miscellanea, Martin George R R Song of ice and fire Miscellanea, Science in literature","Little, Brown and Company,",2016
Digital,OverDrive,AUDIOBOOK,2016,12,23,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2016,12,39,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2016,12,56,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2016,12,32,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2016,12,5,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,AUDIOBOOK,2016,12,12,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2016,12,29,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2017,1,10,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2017,1,22,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Digital,OverDrive,EBOOK,2017,1,25,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2017,1,40,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,AUDIOBOOK,2017,1,36,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2017,1,13,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2013
Digital,OverDrive,EBOOK,2017,1,40,"A Clash of Kings: A Song of Ice and Fire Series, Book 2",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2017,1,3,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,EBOOK,2017,1,1,"Beyond the Wall: Exploring George R. R. Martin's A Song of Ice and Fire, From A Game of Thrones to A Dance with Drago",,James Lowder,"Literary Criticism, Nonfiction",Lightning Source Inc,2012
Digital,OverDrive,EBOOK,2017,1,109,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Physical,Horizon,BOOK,2017,1,3,The science of Game of thrones : from the genetics of royal incest to the chemistry of death by molten gold--sifting fact from fantasy in the Seven Kingdoms / Helen Keen.,,"Keen, Helen,","Science Miscellanea, Game of thrones Television program Miscellanea, Martin George R R Song of ice and fire Miscellanea, Science in literature","Little, Brown and Company,",2016
Digital,OverDrive,EBOOK,2017,1,36,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2017,1,49,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2017,1,18,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,Freegal,SONG,2017,1,1,Fire & Ice,,Steeleye Span,,,
Physical,Horizon,BOOK,2005,4,3,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,5,3,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,6,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,7,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,8,7,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,9,6,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,10,2,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,11,3,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2005,12,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,1,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,3,8,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,4,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,5,8,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,6,8,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,7,9,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,8,9,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,9,6,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2006,10,7,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2006,10,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2006,11,7,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2006,11,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2006,12,4,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2006,12,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,1,8,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,2,7,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,3,5,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2007,3,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,4,9,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2007,4,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,5,7,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2007,5,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2007,6,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,6,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,7,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,8,6,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2007,8,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,9,5,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2007,9,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2007,10,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,11,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2007,12,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,1,6,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2008,2,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2008,2,5,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,3,5,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2008,3,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2008,4,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,5,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,6,3,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,7,5,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2008,8,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2008,8,4,clash of kings book two of A song of ice and fire,,,,,
Physical,Horizon,BOOK,2008,9,4,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2008,11,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2008,11,3,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2008,11,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2008,11,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2008,12,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2008,12,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2008,12,3,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2008,12,2,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,1,2,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2009,1,4,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,1,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2009,1,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,2,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2009,2,4,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,2,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,2,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,3,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,3,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2009,3,3,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,3,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,4,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2009,4,2,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,4,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2009,4,4,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2009,5,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,5,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,5,1,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,5,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2009,6,3,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,6,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,6,2,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,7,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2009,7,3,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,7,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,7,2,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,7,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,8,1,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,8,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,8,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2009,8,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,8,2,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,9,2,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,9,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,9,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2009,9,1,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,10,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,10,3,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,10,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,11,2,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Physical,Horizon,BOOK,2009,11,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2009,11,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,11,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,12,1,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,12,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2009,12,1,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2009,12,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2010,1,1,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2010,1,2,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2010,1,2,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Physical,Horizon,BOOK,2010,1,1,clash of kings book two of A song of ice and fire,,,,,
Digital,OverDrive,AUDIOBOOK,2010,1,1,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2010,2,1,"A Storm of Swords: A Song of Ice and Fire Series, Book 3 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2009
Digital,OverDrive,AUDIOBOOK,2010,2,2,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Digital,OverDrive,AUDIOBOOK,2010,2,4,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged) (Unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
