UsageClass,CheckoutType,MaterialType,CheckoutYear,CheckoutMonth,Checkouts,Title,ISBN,Creator,Subjects,Publisher,PublicationYear
Digital,OverDrive,AUDIOBOOK,2021,7,20,"A Dance with Dragons: A Song of Ice and Fire Series, Book 5 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2011
Digital,OverDrive,EBOOK,2021,7,6,"A Feast for Crows: A Song of Ice and Fire Series, Book 4",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,7,16,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
Digital,OverDrive,EBOOK,2021,7,5,"Fire & Blood: A Song of Ice and Fire Series, Book 0",,George R. R. Martin,"Fantasy, Fiction, Thriller","Random House, Inc.",2018
Digital,OverDrive,AUDIOBOOK,2021,7,30,"A Clash of Kings: A Song of Ice and Fire Series, Book 2 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,AUDIOBOOK,2021,7,85,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,7,34,"A Game of Thrones: A Song of Ice and Fire Series, Book 1",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2011
Digital,OverDrive,AUDIOBOOK,2021,7,6,"A Feast for Crows: A Song of Ice and Fire Series, Book 4 (unabridged)",,George R. R. Martin,"Fantasy, Fiction",Books on Tape,2006
Physical,Horizon,BOOK,2021,8,1,"Fire, ice, and physics : the science of Game of thrones / Rebecca C. Thompson ; foreword by Sean Carroll.",,"Thompson, Rebecca C.","Game of thrones Television program, Martin George R R Song of ice and fire, Science Popular works, Science in popular culture","The MIT Press,",[2019]
Physical,Horizon,BOOK,2021,8,1,"The world of ice & fire : the untold history of Westeros and the Game of Thrones / George R.R. Martin, Elio García, Jr. and Linda Antonsson.",,"Martin, George R. R.","Martin George R R Song of ice and fire, Game of thrones Television program","Bantam,",[2014]
Digital,OverDrive,AUDIOBOOK,2021,8,16,"Fire & Blood: A Song of Ice and Fire Series, Book 0 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Thriller",Books on Tape,2018
Digital,OverDrive,AUDIOBOOK,2021,8,85,"A Game of Thrones: A Song of Ice and Fire Series, Book 1 (unabridged)",,George R. R. Martin,"Fantasy, Fiction, Science Fiction, Thriller",Books on Tape,2008
Digital,OverDrive,EBOOK,2021,8,16,"A Storm of Swords: A Song of Ice and Fire Series, Book 3",,George R. R. Martin,"Fantasy, Fiction","Random House, Inc.",2010
